Unnamed: 0_x,gender,dob,commune,created_at,modified_at,department,education_level,university,study_domain,current_employed,formal_sector_job,have_computer_home,internet_at_home,hear_AA_1,after_AA,quest_id,Commune_en,Commune_FR,Commune_Id,Departement,ADM1_PCODE,Unnamed: 0_y,key,values
1,female,29/09/1996,HT0111,2021-02-16,2021-02-16T16:01:10.861899Z,HT01,Bachelors (bacc +4),other,['other'],No,unknown,Yes,Yes,Friend,Finding a job/internship,905ddcf2-ce95-11eb-9a92-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,0,other,other
3,male,24/11/1996,HT0111,2021-02-16,2021-02-16T16:57:55.754582Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),"['item1', 'item6']",No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,1,item1,Computer Science
3,male,24/11/1996,HT0111,2021-02-16,2021-02-16T16:57:55.754582Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),"['item1', 'item6']",No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,2,item6,Management
4,male,20/07/1997,HT0111,2021-02-16,2021-02-16T17:05:40.907982Z,HT01,High School (16 years),unknown,['other'],No,unknown,Yes,Yes,WhatsApp,Mentorship,905e73fd-ce95-11eb-a7b0-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,3,other,other
5,male,03/12/1996,HT0111,2021-02-16,2021-02-16T18:35:14.430873Z,HT01,Other,unknown,['other'],No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e9b27-ce95-11eb-9c37-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,4,other,other
6,female,30/04/1988,HT0111,2021-02-16,2021-02-16T20:06:17.885862Z,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),['item1'],Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ec-ce95-11eb-8136-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,5,item1,Computer Science
7,female,10/09/1996,HT0111,2021-02-16,2021-02-16T22:54:19.490841Z,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),['item1'],No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ed-ce95-11eb-829c-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,6,item1,Computer Science
8,female,03/02/1991,HT0111,2021-02-17,2021-02-17T01:10:41.212319Z,HT01,Bachelors (bacc +4),other,['item1'],No,unknown,Yes,Yes,ESIH,Mentorship,905ef688-ce95-11eb-9b57-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,7,item1,Computer Science
9,female,10/07/1997,HT0111,2021-02-17,2021-02-17T01:24:40.360116Z,HT01,High School (16 years),unknown,['item7'],No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905f0fbd-ce95-11eb-b153-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,8,item7,Law
10,female,20/11/1994,HT0111,2021-02-17,2021-02-17T01:45:30.152645Z,HT01,Other,unknown,['other'],No,unknown,Yes,Yes,Bootcamp Alumni,Training to start my own company,905f0fbe-ce95-11eb-8396-7c67a234f601,Port-au-Prince,Port-au-Prince,HT0111,West,HT01,9,other,other
